Year,MonthNo,Month,PeriodKey,Type,TaxHeadCode,TaxHead,Amount
2020,1,January,1,Actual Outturn,7,Corporation Tax,115914
2020,2,February,1,Actual Outturn,7,Corporation Tax,466603
2020,3,March,1,Actual Outturn,7,Corporation Tax,287454
2020,4,April,1,Actual Outturn,7,Corporation Tax,32597
2020,5,May,1,Actual Outturn,7,Corporation Tax,2563439
2020,6,June,1,Actual Outturn,7,Corporation Tax,2428936
2020,7,July,1,Actual Outturn,7,Corporation Tax,165325
2020,8,August,1,Actual Outturn,7,Corporation Tax,417787
2020,9,September,1,Actual Outturn,7,Corporation Tax,991217
2020,10,October,1,Actual Outturn,7,Corporation Tax,197895
2020,11,November,1,Actual Outturn,7,Corporation Tax,3049501
2020,12,December  ,1,Actual Outturn,7,Corporation Tax,1116100
2021,1,January,1,Actual Outturn,7,Corporation Tax,57462
2021,2,February,1,Actual Outturn,7,Corporation Tax,292686
2021,3,March,1,Actual Outturn,7,Corporation Tax,232813
2021,4,April,1,Actual Outturn,7,Corporation Tax,-10765
2021,5,May,1,Actual Outturn,7,Corporation Tax,2367534
2021,6,June,1,Actual Outturn,7,Corporation Tax,2802989
2021,7,July,1,Actual Outturn,7,Corporation Tax,215876
2021,8,August,1,Actual Outturn,7,Corporation Tax,1043325
2021,9,September,1,Actual Outturn,7,Corporation Tax,1054830
2021,10,October,1,Actual Outturn,7,Corporation Tax,1493728
2021,11,November,1,Actual Outturn,7,Corporation Tax,4000825
2021,12,December  ,1,Actual Outturn,7,Corporation Tax,1773123
2022,1,January,1,Actual Outturn,7,Corporation Tax,81276
2022,2,February,1,Actual Outturn,7,Corporation Tax,219460
2022,3,March,1,Actual Outturn,7,Corporation Tax,1588733
2022,4,April,1,Actual Outturn,7,Corporation Tax,398516
2022,5,May,1,Actual Outturn,7,Corporation Tax,2912028
2022,6,June,1,Actual Outturn,7,Corporation Tax,3579633
2022,7,July,1,Actual Outturn,7,Corporation Tax,232191
2022,8,August,1,Actual Outturn,7,Corporation Tax,2785380
2022,9,September,1,Actual Outturn,7,Corporation Tax,2034091
2022,10,October,1,Actual Outturn,7,Corporation Tax,2327297
