year,taxhead,amount_€m
2024,PAYE Income Tax,24665
2024,PAYE USC,5017
2024,Self-Assessed Income Tax,2323
2024,Self-Assessed USC,702
2024,Life Assurance Exit Tax,169
2024,Deposit Interest Retention Tax,193
2024,Professional Services Withholding Tax,1130
2024,Non-Resident Landlord Withholding Tax,47
2024,Dividend Withholding Tax,720
2024,Income Levy,
2024,Other Income Taxes,122
2024,VAT - on imports ,1318
2024,Internal VAT including VAT MOSS ,20561
2024,Excise ,6229
2024,Corporation Tax,39061
2024, Stamp Duty on Shares ,495
2024, Stamp Duty on Property ,697
2024, Other Stamp Duty,501
2024,Capital Gains Tax,1708
2024,Capital Acquisitions  Tax,854
2024,Customs,587
2024,Local Property Tax - collected on behalf of the Local Government Fund,573
2024,Other Property Related Tax,2
2024,Enviromental Levy On Plastic Bags,6.3
2023,PAYE Income Tax,22726
2023,PAYE USC,4771
2023,Self-Assessed Income Tax,2655
2023,Self-Assessed USC,672
2023,Life Assurance Exit Tax,231
2023,Deposit Interest Retention Tax,45
2023,Professional Services Withholding Tax,1058
2023,Non-Resident Landlord Withholding Tax,13
2023,Dividend Withholding Tax,639
2023,Income Levy,
2023,Other Income Taxes,100
2023,VAT - on imports ,1342
2023,Internal VAT including VAT MOSS ,18907
2023,Excise ,5726
2023,Corporation Tax,23842
2023, Stamp Duty on Shares ,785
2023, Stamp Duty on Property ,674
2023, Other Stamp Duty,313
2023,Capital Gains Tax,1520
2023,Capital Acquisitions  Tax,634
2023,Customs,586
2023,Local Property Tax - collected on behalf of the Local Government Fund,556
2023,Other Property Related Tax,1
2023,Enviromental Levy On Plastic Bags,1.4
2022,PAYE Income Tax,21172
2022,PAYE USC,4288
2022,Self-Assessed Income Tax,2612
2022,Self-Assessed USC,607
2022,Life Assurance Exit Tax,233
2022,Deposit Interest Retention Tax,14
2022,Professional Services Withholding Tax,982
2022,Dividend Withholding Tax,648
2022,Income Levy,
2022,Other Income Taxes,174
2022,VAT - on imports ,1544
2022,Internal VAT including VAT MOSS ,17236
2022,Excise ,5472
2022,Corporation Tax,22645
2022, Stamp Duty on Shares ,500
2022, Stamp Duty on Property ,963
2022, Other Stamp Duty,357
2022,Capital Gains Tax,1747
2022,Capital Acquisitions  Tax,605
2022,Customs,618
2022,Local Property Tax - collected on behalf of the Local Government Fund,500
2022,Enviromental Levy On Plastic Bags,2.5
2021,PAYE Income Tax,18737
2021,PAYE USC,3742
2021,Self-Assessed Income Tax,1949
2021,Self-Assessed USC,625
2021,Life Assurance Exit Tax,129
2021,Deposit Interest Retention Tax,20
